,salary_label,comb_description
10,4.0,data analyst model visualis nsw contract temp inform communic technolog data model time nsw govern data model requir nsw govern depart sydney cbd three day per week initi month contract assist eofi report need prepar program kick data analysi underpin new year strategi key account creat dashboard relat data flow process requir field origin sourc dashboard tableau power bi involv drill microsoft sql server db understand various tabl fit togeth creat script extract inform data use script feed dashboard updat exist suit powerbi report creat new report powerbi e g audit progress kpis report data clean project curat various bespok dataset readi key user bring clean prep data team use tableau data prep tableau onlin team member self serv analysi creat data viz librari tableau market develop team refresh exist tableau data visualis better present mobil devic select criterion proven experi similar role advanc tableau skill experi extract data clean prepar data use dashboard strong data visualis skill excel stakehold engag manag skill experi sql queri manipul sql queri creation strong power bi skill relev experi appli recent cv word format
11,1.0,data entri vic contract temp administr offic support client look data entri admin assist help product manufactur team sunshin work alongsid product suppli chain manag month assign help enter product data transit new system posit ideal earli starter life local shift run monday friday duti includ input product data new system net suit reconcil hour per job cost follow purchas order sale order data entri assist team requir requir ideal experi either manufactur suppli chain warehous environ self starter initi good attitud high level accuraci attent detail intermedi comput skill abil adapt pick new system posit immedi start look commenc soon monday august therefor feel fit requir avail asap plea send resum due anticip high volum applic plea note shortlist applic meet requir contact
12,2.0,geo spatial data offic nsw full time engin busi durkin provid rang engin servic construct infrastructur urban develop project role geo spatial data offic gdo durkin expo varieti spatial data process work detail sui hds road construct wae etc given opportun toenhanc skill model ground underground ground featur review road design packag generat qa conform report capabl interest candid opportun avail manag survey multidisciplinari project skill experi warrant repres firm meet main client govern agenc privat sector build career path toward senior posit compani benefit perk market competit salari negoti commensur experi skill benefit work multidisciplinari work environ project entail survey sui investig pavement engin sui ground model drainag network investig model pipe line cctv survey road construct upgrad etc assist continu profession develop cpd provis advanc softwar train access extern train cours applic scope servicesloyalti bonus year employ durkin skill experi essenti criterion australian citizen hold perman resid visa tertiari degre survey gi engin disciplin civil engin mechan engin architecturehigh level verbal written communic skill english abl work minim supervis deliv project specshav prior experi work survey data process model draft project australia high compet use model process survey data creat util ground model profici use autocad high level attent detail critic think capabl rationalis spatial dataflex work hour meet project deliveri deadlinesb team player work effect team achiev project targetsb abl mentor junior staff act role model desir criterion work experi detail util survey data process rms g requir compet work process softwar realwork geo magic cyclon etc post process point cloud
13,2.0,data analyst asset manag vic full time real estat properti excit opportun play key role develop strateg data manag procedur multin fm provid report gm great opportun join lead firm major contract start asap respons identifi sourc prepar data design creat analysi way translat data layman term dashboard graph support commerci manag complet month end financi process work mainten manag support forward plan work highlight risk issu infer data develop complet accur busi model includ process data organis establish strong relationship intern extern stakehold well develop skill power bi similar system prefer essenti criterion year oper experi cmms cafm system mex maximo pronto strong profici tableau power bi excel vba tertiari qualif includ limit engin data scienc account financ skill analys interpret translat big data provid meaning insight inform decis appli plea send cv stuart mckenzi click appli button refer number tw datamelb austcorp provid equal employ opportun eeo employe applic employ accord feder state law
14,2.0,data analyst project manag act contract temp govern defenc australian institut health welfar aihw independ corpor commonwealth entiti establish australian govern provid reliabl regular relev inform statist health welfar australian aihw seek talent enthusiast data analyst project manag strong background welfar educ health relat data two vacanc avail disabl unit communiti servic group communiti servic group develop maintain analysi nation data support report health welfar key popul group includ child youth older australian peopl disabl use servic within rang health welfar sector includ child protect youth justic age care disabl servic group also recent establish program work famili domest sexual violenc use welfar payment data better understand experi outcom key popul group disabl unit develop maintain analysi nation data support report health welfar peopl disabl use specialist disabl servic mainstream servic peopl disabl australia posit data analyst look talent enthusiast data analyst background welfar educ health relat data requir demonstr well develop understand skill statist epidemiolog work abil manipul interrog databas use rang softwar includ limit sa applic strong verbal written communic skill abil effect manag prioritis work requir work collabor dynam environ provid high qualiti independ evid use govern communiti policymak servic provid improv polici servic outcom australian communiti duti statement immedi supervisor project manag supervisori respons staff general direct success applic requir undertak rang task includ contribut toward plan organis manag project includ design research analys present inform various format support relev work group committe undertak complex research statist analysi interpret data prepar report public paper submiss undertak rang research design project plan develop task deliv requir outcom output provid detail advic option wide rang profession technic administr matter develop appli new work method within area respons work collabor aihw staff provid leadership direct perform manag staff effect manag alloc resourc relev level liais negoti area aihw govern agenc state local author busi communiti organis repres institut meet select criterion import strong conceptu analyt research skill demonstr abil analys complex data creat interpret tabular graphic output use sa softwar well develop communic skill includ abil synthesis complex inform present data advic clear access format various audienc strong interperson skill abil liais negoti effect intern extern stakehold project manag look high motiv talent project manag strong background welfar educ health relat data demonstr capac identifi key prioriti develop project plan effect manag complex project also demonstr good research analyt skill well develop skill manag use report statist data applic strong verbal written communic skill well develop capac plan produc high qualiti access statist public requir excel interperson liaison skill includ abil communic effect colleagu extern stakehold duti statementimmedi supervisor unit head supervisori respons ap staff limit direct success applic requir plan organis manag project includ design research analys present inform various format support relev work group committe lead complex research statist analysi interpret data prepar report public paper submiss lead rang research design project plan develop task deliv requir outcom output provid detail advic option wide rang profession technic administr matter develop appli new work method within area respons work collabor aihw staff provid leadership direct perform manag staff effect manag alloc resourc relev level liais negoti area aihw govern agenc state local author busi communiti organis repres institut meet select criterion import demonstr abil plan lead complex project strong interperson skill abil liais negoti effect intern extern stakehold strong conceptu analyt research skill demonstr abil analys complex data creat interpret tabular graphic output well develop communic skill includ abil synthesis complex inform present data advic clear access format various audienc desir posit tertiari qualif relev welfar health disciplin previous experi role involv social polici data indic develop collat data analysi report would advantag addit inform posit offer month possibl extens fill contractu basi labour hire firm applic must undergo polic check appli inform role appli plea review posit profil select criterion avail websit http www aihw gov au u career applic must regist appli via aihw e recruit system aihw websit applic includ concis cover letter detail skill experi relat respons posit need address individu select criterion cover letter narrat dot point page current curriculum vita includ contact detail two refere one must current recent close date 5 septemb contact offic mr david braddock david braddock aihw gov au
15,3.0,data engin azur nsw full time inform communic technolog due busi transform organis chang toward data driven insight base strategi seek data engin azur report head data hungri passion look growth career advanc well work innov cloud base solut financi advisori industri client detailsan innov compani provid specialist advisori busi servic australian busi investor goal busi develop support financi advis investor provid world class technolog servic train integr complianc monitor help client build busi focus outcom integr solut enabl see beyond individu busi share expertis take wider view competit ever chang market descriptionreport direct head data manag aspect oper activ issu newli built data warehous microsft azur manag platformyou demonstr expert level charg data model architectur integr autom manual data process extern intern sourc infrastructur engin skill help deliv outstand technic servic busi ownership microsoft azur platformth role respons enrich data warehous new inform provid valuabl insight businessto identifi innov way get unstructur data extern sourc profileth success applic first come previous background data manag data wareh use azur stack expert level sql proven experi data crawl process unstructur data public sourc excel analyt data analysi skill experi set api data govern data exchang transfer extern parti except communic skill job offerperform base incent abl influentialflex work arrangementsan open friend passion environmentkeep invest technolog peopl infrastructureemploye benefit program appli onlin plea click appli button confidenti discus role plea contact selena
16,1.0,junior data analyst nsw full time inform communic technolog junior data analyst need grow pharmaceut organis northern beach new compani cut edg pharmaceut organis look junior data analyst join northern beach offic sydney perman basi new role junior data analyst extract data hous databas use sql present inform user friend way excel work close intern stakehold busi includ senior manag opportun grow within career join organis excit time data map need succeed strong sql excel experiencegood attitud learn new thingsstrong communic skillsexperi aw ssrs ssis would benefici get return becom part grow busi offer genuin career progress opportun develop within career access busi decis maker play integr part data journey organis need interest role click appli forward date copi cv email hannah scott job quit right look new posit plea contact u confidenti discus career
17,2.0,data busi analyst end client nsw full time inform communic technolog compani fascin strategi behind analysi dig data work alongsid busi leader complex multi sourc data explor generat test busi assumpt sound like client offer excit opportun skill bi analyst except profession passion strategi analysi present idea partner team member respons drive busi process model could role role newli creat role data busi analyst huge influenc shape data environ across busi respons acceler improv decis make increas oper effici gain competit advantag har busi technic skill advanc analyt allow busi focus forecast futur event behaviour collabor busi user work bi develop manag etl process utilis establish data wareh practic data visualis diver role also see drive enterpris oper analyt initi conduct sophist quantit analysi sale oper market key perform metric draw insight support continu improv busi skill experi experi work busi analyst data projectoutstand experi work larg data volum experi data visualis softwar powerbi familiar data transform etl relat databas sql abil read write basic sql queri degre comput scienc appli statist busi analyt work busi make posit chang world thrive fast pace work environ easili abl handl number larg project also manag smaller filler project time meet strict deadlin except problem solv abil natur creativ flair provid innov solut outstand interperson skill motiv mentor team offer except opportun part growth focus compani champion innov excel rare chanc build current skill set play activ role lead varieti project fast pace high energi workplac talent make real contribut busi growth camaraderi impress team environ work life balanc activ support robert half ltd commit equal opportun valu diver compani discrimin basi categori protect local law
18,2.0,data analyst excel sql tableau nsw full time inform communic technolog nation client base north ryde activ seek data analyst aid develop master data manag platform data capabl engag stakehold also work hand capac need experi use excel sql decent standard well experi use erp ideal data visual tool tableau powerbi skill set experi need excel communic skill experi work wide varieti stakeholdersstrong data analysi background use excel sql primari toolsextract data erpwork report around price data vendor data materi data etcstrong investig analysi skillsexperi build new processesexperi work data visual layer tableau powerbiexperi mdm governancework mdm administratorsdata process experiencecr week report managementpro activ strong problem solv skillsappli todaypleas send resum click appli button applic ass within work day plea note shortlist candid contact learn sydney recruit servic http www roberthalf com au sydney
19,1.0,bi report analyst nsw full time inform communic technolog look career bi report analyst would like work big four consult offer excel progress opportun client seek report analyst skill experi defin develop report unlock key insight manag oper effect nation servic centr respons account support leadership team day day report mileston deliver teamengag stakehold understand report requir need develop maintain appropri requir design test documentationdr deliv improv oper base report engag level profit oper perform ad hoc reportinggener provid insight aris report present find recommend identifi process improv opportunitieswork close busi excel transform team design deploy new oper report support transform initi experi year experi work similar role follow gather document requirementsexperi analys report data identifi insight provid recommendationsdesign develop test report visual dashboardsdesign develop test data warehous etlsexcel written verbal communic skill skillsexperi power bi sql server m offic suitemcs certifi desir advanc m excel basic vba desir accessexcel data mine skill abil present data meaning wayexperi work larg amount data creat effici succinct reportingdemonstr abil build report solut initi concept experi anz parent portfolio brand greythorn safesearch gt x global attract brand make core specialis technolog digit execut engin workplac health safeti environ appli opportun direct parent websit www experi com au lodg applic experi part manpowergroup global leader offer end end workforc solut doe sound like curious convers role plea pick phone speak recruit specialist nazia shariffdigit design specialistcandid managerlet connecthttp www linkedin com naziashariff 8636bi submit resum person inform applic consent inform collect line privaci polici follow link learn www greythorn com au privaci polici
